split,fold,bacc,f1,auc_roc
validation,0,50.0,8.0,30.4348
test,0,50.0,62.8571,48.4266
validation,1,50.0,70.2703,60.4895
test,1,50.0,62.8571,52.2727
validation,2,50.0,22.2222,57.1429
test,2,50.0,62.8571,60.8392
validation,3,48.9899,41.1765,49.4949
test,3,55.7692,51.1628,57.1678
validation,4,50.0,70.9677,38.3838
test,4,50.0,62.8571,69.5804
validation,mean,49.79798,42.52734,47.18918
validation,std,0.45173045281450813,28.216956750737666,12.644518227160733
test,mean,51.15384,60.51824,57.65734
test,std,2.5800646751583565,5.2298499498551605,8.165845809100242
